"PASSENGERS","DISTANCE","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","YEAR","MONTH",
2775.00,4425.00,"AA","American Airlines Inc.",12972,"LHR","London, United Kingdom",13303,"MIA","Miami, FL",2021,7,
2775.00,2324.00,"CM","Compania Panamena (Copa)",13930,"ORD","Chicago, IL",14286,"PTY","Panama City, Panama",2021,6,
2777.00,2375.00,"AA","American Airlines Inc.",13218,"MDE","Medellin, Colombia",12478,"JFK","New York, NY",2021,5,
2778.00,1878.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",13252,"MEX","Mexico City, Mexico",13796,"OAK","Oakland, CA",2021,7,
2778.00,1446.00,"AM","Aeromexico",13252,"MEX","Mexico City, Mexico",11292,"DEN","Denver, CO",2021,4,
2778.00,5296.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",10150,"ACC","Accra, Ghana",2021,7,
2779.00,2194.00,"UA","United Air Lines Inc.",12892,"LAX","Los Angeles, CA",12010,"GUA","Guatemala City, Guatemala",2021,4,
2779.00,436.00,"KV","Sky Regional Airlines Inc.",16271,"YYZ","Toronto, Canada",13930,"ORD","Chicago, IL",2021,1,
2780.00,3995.00,"EK","Emirates",13560,"MXP","Milan, Italy",12478,"JFK","New York, NY",2021,7,
2781.00,2473.00,"AV","Aerovias Nacl De Colombia",10711,"BOG","Bogota, Colombia",12478,"JFK","New York, NY",2021,2,
2781.00,1685.00,"UA","United Air Lines Inc.",13252,"MEX","Mexico City, Mexico",13930,"ORD","Chicago, IL",2021,3,
2781.00,1085.00,"DL","Delta Air Lines Inc.",10397,"ATL","Atlanta, GA",13514,"MTY","Monterrey, Mexico",2021,6,
2782.00,720.00,"NK","Spirit Air Lines",11697,"FLL","Fort Lauderdale, FL",14012,"PAP","Port-au-Prince, Haiti",2021,6,
2782.00,7305.00,"PR","Philippine Airlines Inc.",12892,"LAX","Los Angeles, CA",13408,"MNL","Manila, Philippines",2021,3,
2783.00,1523.00,"MQ","Envoy Air",16257,"YYC","Calgary, Canada",11298,"DFW","Dallas/Fort Worth, TX",2021,6,
2783.00,1523.00,"MQ","Envoy Air",11298,"DFW","Dallas/Fort Worth, TX",16257,"YYC","Calgary, Canada",2021,6,
2783.00,7506.00,"AI","National Aviation Company of India Limited d/b/a Air India",11290,"DEL","Delhi, India",12264,"IAD","Washington, DC",2021,1,
2784.00,1037.00,"AA","American Airlines Inc.",14107,"PHX","Phoenix, AZ",11874,"GDL","Guadalajara, Mexico",2021,3,
2784.00,1522.00,"B6","JetBlue Airways",10711,"BOG","Bogota, Colombia",11697,"FLL","Fort Lauderdale, FL",2021,1,
2785.00,1347.00,"AA","American Airlines Inc.",11057,"CLT","Charlotte, NC",14739,"SDQ","Santo Domingo, Dominican Republic",2021,3,
2786.00,1554.00,"AS","Alaska Airlines Inc.",14312,"PVR","Puerto Vallarta, Mexico",14771,"SFO","San Francisco, CA",2021,1,
2786.00,7754.00,"EK","Emirates",11455,"DXB","Dubai, United Arab Emirates",13204,"MCO","Orlando, FL",2021,7,
2786.00,2082.00,"UA","United Air Lines Inc.",14677,"SAL","San Salvador, El Salvador",11618,"EWR","Newark, NJ",2021,4,
2787.00,1085.00,"DL","Delta Air Lines Inc.",13514,"MTY","Monterrey, Mexico",10397,"ATL","Atlanta, GA",2021,6,
2787.00,1095.00,"B6","JetBlue Airways",11618,"EWR","Newark, NJ",13605,"NAS","Nassau, The Bahamas",2021,6,
2787.00,1335.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",11292,"DEN","Denver, CO",11874,"GDL","Guadalajara, Mexico",2021,5,
2788.00,1819.00,"DL","Delta Air Lines Inc.",13252,"MEX","Mexico City, Mexico",11433,"DTW","Detroit, MI",2021,1,
2788.00,214.00,"9E","Endeavor Air Inc.",16271,"YYZ","Toronto, Canada",11433,"DTW","Detroit, MI",2021,5,
2789.00,1442.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",12892,"LAX","Los Angeles, CA",13370,"MLM","Morelia, Mexico",2021,7,
2790.00,2140.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",14747,"SEA","Seattle, WA",11874,"GDL","Guadalajara, Mexico",2021,1,
2791.00,7412.00,"QR","Qatar Airways (Q.C.S.C)",14747,"SEA","Seattle, WA",11369,"DOH","Doha, Qatar",2021,5,
2792.00,1772.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",13370,"MLM","Morelia, Mexico",13796,"OAK","Oakland, CA",2021,7,
2792.00,2411.00,"UA","United Air Lines Inc.",11292,"DEN","Denver, CO",14838,"SJO","San Jose, Costa Rica",2021,7,
2793.00,1189.00,"WN","Southwest Airlines Co.",11292,"DEN","Denver, CO",14832,"SJD","San Jose del Cabo, Mexico",2021,1,
